,FrameId,VesicleId,IntCh1,IntCh2,IntCh3,xCoord,yCoord,radius,ch1_bg,ch2_bg
0,0,0,145.08,120.59,0,27,39,15,155.14285714285714,132.75661375661375
1,1,0,185.83,133.6,0,27,38,16,165.64523809523808,136.74510582010583
2,2,0,160.03,125.84,0,27,39,15,163.57566137566135,138.53214285714284
3,3,0,165.87,128.12,0,27,39,15,166.76071428571427,140.89603174603172
4,4,0,186.02,135.08,0,27,38,16,169.72910052910055,141.1280423280423
5,5,0,182.79,133.3,0,27,38,15,171.13174603174605,143.2382275132275
6,6,0,185.64,133.64,0,28,38,15,174.569708994709,144.92962962962963
7,7,0,192.11,137.02,0,27,38,15,173.85026455026457,145.2589947089947
8,8,0,196.02,137.66,0,27,37,15,175.03849206349201,145.83201058201058
9,9,0,201.94,139.6,0,27,38,15,175.6820105820106,148.18280423280424
10,10,0,206.45,146.97,0,27,37,15,177.0679894179894,148.41097883597882
11,11,0,217.0,146.54,0,27,37,15,178.71190476190475,148.99761904761905
12,12,0,220.93,148.19,0,27,37,15,181.1820105820106,150.66415343915344
13,13,0,224.98,149.53,0,27,37,15,182.05171957671956,149.65052910052907
14,14,0,230.07,150.64,0,27,37,15,181.930291005291,150.80092592592592
15,15,0,237.92,153.29,0,27,37,15,186.08611111111105,153.4275132275132
16,16,0,243.19,152.3,0,28,37,15,188.1337301587302,152.28425925925924
17,17,0,247.44,157.96,0,28,36,15,187.00039682539682,154.01534391534395
18,18,0,268.81,163.35,0,27,36,15,188.64391534391535,154.00780423280423
19,19,0,232.22,147.92,0,28,37,14,186.98373015873014,153.2383597883598
20,20,0,262.24,162.62,0,27,36,15,190.0876984126984,154.97619047619048
21,21,0,271.14,165.15,0,27,36,15,191.98174603174607,157.94933862433862
22,22,0,278.3,173.2,0,27,36,15,194.64431216931217,158.1382275132275
23,23,0,266.4,162.43,0,28,36,14,201.6424603174603,159.44298941798945
24,24,0,313.01,182.37,0,28,36,15,202.86150793650793,160.94880952380953
25,25,0,271.38,159.36,0,28,36,14,201.40383597883599,159.25
26,26,0,295.82,171.09,0,28,36,14,207.34523809523807,162.71547619047624
27,27,0,313.37,176.12,0,28,36,14,213.94391534391534,165.0345238095238
28,28,0,360.93,197.81,0,28,36,15,215.25661375661377,165.67023809523806
29,29,0,295.58,168.29,0,27,37,14,213.71402116402118,165.54047619047617
30,30,0,305.66,176.47,0,27,36,14,218.93902116402117,166.67380952380952
