,FrameId,avg_circle_int_Ch1,avg_circle_int_Ch2
0,0,0.0,0.0
1,1,28.967847522674674,9.11324233187878
2,2,6.699984991493011,0.00361770184940724
3,3,9.23419698884203,0.12864014705579052
4,4,24.95374315747469,6.477329004393937
5,5,20.631877046367265,2.9556268971382735
6,6,19.901199578404004,1.8252294308129677
7,7,26.357727534185244,4.636745878097699
8,8,28.659515798112466,4.727311177425619
9,9,33.25099967172528,4.477300327958957
10,10,35.80669195612842,10.877629125827667
11,11,43.30140662678693,9.976879553133728
12,12,44.09833684739246,9.986531600383131
13,13,46.645956124742156,12.059691079216321
14,14,51.11447067129174,12.024943664998602
15,15,53.277568713921085,12.047627337246269
16,16,55.46453497912867,12.180336037885155
17,17,60.20592036770992,15.566789160703394
18,18,75.99233807430923,20.219700944516802
19,19,47.59598445667331,7.559102705091618
20,20,68.95101408915266,18.714498728256586
21,21,74.03163511742596,18.218778516318167
22,22,76.7413142817145,24.810930971748803
23,23,59.88703461060851,14.653680836642735
24,24,94.30137011918757,29.8356149668015
25,25,63.96601129768365,12.258313772395411
26,26,76.2627249239249,18.999236250832183
27,27,82.16234556848698,21.08396175724016
28,28,115.05468506888539,37.92118504519482
29,29,69.49237791193536,14.371618108392738
30,30,71.51439903478717,19.969333806328933
